start_ip,end_ip,country,country_name,continent,continent_name
1.11.0.0,1.11.255.255,KR,South Korea,AS,Asia
1.16.0.0,1.16.63.255,KR,South Korea,AS,Asia
1.18.116.0,1.19.255.255,KR,South Korea,AS,Asia
1.32.217.0,1.32.217.127,KR,South Korea,AS,Asia
1.32.217.195,1.32.217.198,KR,South Korea,AS,Asia
1.96.0.0,1.111.255.255,KR,South Korea,AS,Asia
1.176.0.0,1.177.255.255,KR,South Korea,AS,Asia
1.201.0.0,1.201.255.255,KR,South Korea,AS,Asia
1.208.0.0,1.208.106.17,KR,South Korea,AS,Asia
1.208.106.19,1.208.106.104,KR,South Korea,AS,Asia
1.208.106.106,1.208.106.125,KR,South Korea,AS,Asia
1.208.106.127,1.208.106.156,KR,South Korea,AS,Asia
1.208.106.158,1.208.106.168,KR,South Korea,AS,Asia
1.208.106.170,1.208.106.172,KR,South Korea,AS,Asia
1.208.106.174,1.208.106.208,KR,South Korea,AS,Asia
1.208.106.210,1.208.112.20,KR,South Korea,AS,Asia
1.208.112.22,1.208.112.52,KR,South Korea,AS,Asia
1.208.112.54,1.208.112.60,KR,South Korea,AS,Asia
1.208.112.62,1.208.112.128,KR,South Korea,AS,Asia
1.208.112.130,1.208.112.152,KR,South Korea,AS,Asia
1.208.112.154,1.208.112.217,KR,South Korea,AS,Asia
1.208.112.219,1.208.112.252,KR,South Korea,AS,Asia
1.208.112.254,1.208.113.37,KR,South Korea,AS,Asia
1.208.113.39,1.208.114.37,KR,South Korea,AS,Asia
1.208.114.43,1.208.114.52,KR,South Korea,AS,Asia
1.208.114.54,1.208.114.148,KR,South Korea,AS,Asia
1.208.114.150,1.208.114.248,KR,South Korea,AS,Asia
1.208.114.251,1.208.115.252,KR,South Korea,AS,Asia
1.208.115.255,1.208.145.244,KR,South Korea,AS,Asia
1.208.145.247,1.208.146.60,KR,South Korea,AS,Asia
1.208.146.63,1.208.147.168,KR,South Korea,AS,Asia
1.208.147.170,1.208.147.188,KR,South Korea,AS,Asia
1.208.147.191,1.208.147.220,KR,South Korea,AS,Asia
1.208.147.223,1.208.148.12,KR,South Korea,AS,Asia
1.208.148.15,1.208.148.60,KR,South Korea,AS,Asia
1.208.148.62,1.208.148.101,KR,South Korea,AS,Asia
1.208.148.103,1.208.148.116,KR,South Korea,AS,Asia
1.208.148.118,1.208.148.125,KR,South Korea,AS,Asia
1.208.148.127,1.208.148.144,KR,South Korea,AS,Asia
1.208.148.146,1.208.148.153,KR,South Korea,AS,Asia
1.208.148.155,1.208.148.193,KR,South Korea,AS,Asia
1.208.148.195,1.208.148.204,KR,South Korea,AS,Asia
1.208.148.206,1.208.148.220,KR,South Korea,AS,Asia
1.208.148.223,1.208.150.32,KR,South Korea,AS,Asia
1.208.150.34,1.208.150.37,KR,South Korea,AS,Asia
1.208.150.39,1.208.150.161,KR,South Korea,AS,Asia
1.208.150.163,1.208.150.180,KR,South Korea,AS,Asia
1.208.150.182,1.208.150.237,KR,South Korea,AS,Asia
1.208.150.239,1.208.172.56,KR,South Korea,AS,Asia
1.208.172.58,1.208.172.68,KR,South Korea,AS,Asia
1.208.172.70,1.208.172.72,KR,South Korea,AS,Asia
1.208.172.74,1.208.172.92,KR,South Korea,AS,Asia
1.208.172.94,1.208.172.156,KR,South Korea,AS,Asia
1.208.172.158,1.213.113.20,KR,South Korea,AS,Asia
1.213.113.22,1.213.113.184,KR,South Korea,AS,Asia
1.213.113.186,1.213.115.144,KR,South Korea,AS,Asia
1.213.115.147,1.213.115.204,KR,South Korea,AS,Asia
1.213.115.206,1.213.148.92,KR,South Korea,AS,Asia
1.213.148.94,1.213.148.141,KR,South Korea,AS,Asia
1.213.148.143,1.213.148.152,KR,South Korea,AS,Asia
1.213.148.154,1.213.148.205,KR,South Korea,AS,Asia
1.213.148.207,1.213.150.12,KR,South Korea,AS,Asia
1.213.150.14,1.213.150.77,KR,South Korea,AS,Asia
1.213.150.106,1.213.150.168,KR,South Korea,AS,Asia
1.213.150.170,1.213.153.108,KR,South Korea,AS,Asia
1.213.153.110,1.213.153.208,KR,South Korea,AS,Asia
1.213.153.210,1.255.26.125,KR,South Korea,AS,Asia
1.255.26.128,1.255.33.255,KR,South Korea,AS,Asia
1.255.36.0,1.255.76.76,KR,South Korea,AS,Asia
1.255.76.80,1.255.76.82,KR,South Korea,AS,Asia
1.255.76.84,1.255.76.86,KR,South Korea,AS,Asia
1.255.76.88,1.255.76.100,KR,South Korea,AS,Asia
1.255.76.102,1.255.255.255,KR,South Korea,AS,Asia
2.2.2.0,2.2.2.20,KR,South Korea,AS,Asia
2.2.2.55,2.2.2.255,KR,South Korea,AS,Asia
2.18.52.2,2.18.52.5,KR,South Korea,AS,Asia
2.18.52.7,2.18.52.9,KR,South Korea,AS,Asia
2.18.52.11,2.18.52.14,KR,South Korea,AS,Asia
2.18.52.16,2.18.52.21,KR,South Korea,AS,Asia
2.18.52.25,2.18.52.26,KR,South Korea,AS,Asia
2.18.52.30,2.18.52.33,KR,South Korea,AS,Asia
2.18.52.36,2.18.52.36,KR,South Korea,AS,Asia
2.18.52.38,2.18.52.39,KR,South Korea,AS,Asia
2.18.52.41,2.18.52.47,KR,South Korea,AS,Asia
2.18.52.53,2.18.52.58,KR,South Korea,AS,Asia
2.18.52.60,2.18.52.63,KR,South Korea,AS,Asia
2.18.52.65,2.18.52.65,KR,South Korea,AS,Asia
2.18.52.67,2.18.52.67,KR,South Korea,AS,Asia
2.18.52.69,2.18.52.71,KR,South Korea,AS,Asia
2.18.52.74,2.18.52.77,KR,South Korea,AS,Asia
2.18.52.79,2.18.52.83,KR,South Korea,AS,Asia
2.18.52.85,2.18.52.87,KR,South Korea,AS,Asia
2.18.52.89,2.18.52.92,KR,South Korea,AS,Asia
2.18.52.95,2.18.52.96,KR,South Korea,AS,Asia
2.18.52.98,2.18.52.98,KR,South Korea,AS,Asia
2.18.52.100,2.18.52.103,KR,South Korea,AS,Asia
2.18.52.107,2.18.52.110,KR,South Korea,AS,Asia
2.18.52.112,2.18.52.117,KR,South Korea,AS,Asia
2.18.52.120,2.18.52.120,KR,South Korea,AS,Asia
2.18.52.123,2.18.52.125,KR,South Korea,AS,Asia
2.18.52.127,2.18.52.128,KR,South Korea,AS,Asia
2.18.52.131,2.18.52.132,KR,South Korea,AS,Asia
2.18.52.134,2.18.52.135,KR,South Korea,AS,Asia
2.18.52.139,2.18.52.139,KR,South Korea,AS,Asia
2.18.52.141,2.18.52.142,KR,South Korea,AS,Asia
2.18.52.144,2.18.52.151,KR,South Korea,AS,Asia
